dist	Gene	pairLabel
1.967624	SELENBP1	Nuc2_gene1_SE84
6.09823	SELENBP1	Nuc2_gene1_SE85
3.384578	SELENBP1	Nuc2_gene1_SE86
14.188189	SELENBP1	Nuc2_gene1_SE87
5.132147	SELENBP1	Nuc2_gene1_SE88
6.130117	SELENBP1	Nuc2_gene1_SE89
1.405092	SELENBP1	Nuc2_gene1_SE90
4.798608	SELENBP1	Nuc2_gene1_SE91
1.513975	SELENBP1	Nuc2_gene1_SE92
2.948113	SELENBP1	Nuc2_gene1_SE93
4.125758	SELENBP1	Nuc2_gene1_SE94
2.967227	SELENBP1	Nuc2_gene1_SE95
2.531139	SELENBP1	Nuc2_gene1_SE96
5.156106	SELENBP1	Nuc2_gene1_SE97
1.025156	SELENBP1	Nuc2_gene1_SE98
3.080279	SELENBP1	Nuc2_gene1_SE99
0.852983	SELENBP1	Nuc2_gene1_SE100
2.670727	SELENBP1	Nuc2_gene1_SE101
4.211994	SELENBP1	Nuc2_gene1_SE102
5.863605	SELENBP1	Nuc3_gene1_SE1
7.375562	SELENBP1	Nuc3_gene2_SE1
1.777357	SELENBP1	Nuc3_gene1_SE2
8.34424	SELENBP1	Nuc3_gene2_SE2
1.565998	SELENBP1	Nuc3_gene1_SE3
9.017731	SELENBP1	Nuc3_gene2_SE3
2.183035	SELENBP1	Nuc3_gene1_SE4
7.97457	SELENBP1	Nuc3_gene2_SE4
1.658523	SELENBP1	Nuc3_gene1_SE5
8.96888	SELENBP1	Nuc3_gene2_SE5
6.234564	SELENBP1	Nuc3_gene1_SE6
6.264308	SELENBP1	Nuc3_gene2_SE6
2.910482	SELENBP1	Nuc3_gene1_SE7
6.67156	SELENBP1	Nuc3_gene2_SE7
2.908364	SELENBP1	Nuc3_gene1_SE8
7.088739	SELENBP1	Nuc3_gene2_SE8
4.715172	SELENBP1	Nuc3_gene1_SE9
5.297716	SELENBP1	Nuc3_gene2_SE9
4.046591	SELENBP1	Nuc3_gene1_SE10
6.23562	SELENBP1	Nuc3_gene2_SE10
5.505678	SELENBP1	Nuc3_gene1_SE11
7.941105	SELENBP1	Nuc3_gene2_SE11
1.546216	SELENBP1	Nuc3_gene1_SE12
8.514825	SELENBP1	Nuc3_gene2_SE12
1.931814	SELENBP1	Nuc3_gene1_SE13
8.552336	SELENBP1	Nuc3_gene2_SE13
3.529922	SELENBP1	Nuc3_gene1_SE14
5.267	SELENBP1	Nuc3_gene2_SE14
2.796109	SELENBP1	Nuc3_gene1_SE15
6.962819	SELENBP1	Nuc3_gene2_SE15
3.44533	SELENBP1	Nuc3_gene1_SE16
6.435255	SELENBP1	Nuc3_gene2_SE16
3.045736	SELENBP1	Nuc3_gene1_SE17
7.474402	SELENBP1	Nuc3_gene2_SE17
2.433543	SELENBP1	Nuc3_gene1_SE18
7.995588	SELENBP1	Nuc3_gene2_SE18
8.288057	SELENBP1	Nuc3_gene1_SE19
5.069342	SELENBP1	Nuc3_gene2_SE19
2.847584	SELENBP1	Nuc3_gene1_SE20
7.991529	SELENBP1	Nuc3_gene2_SE20
6.908827	SELENBP1	Nuc3_gene1_SE21
7.285029	SELENBP1	Nuc3_gene2_SE21
4.585783	SELENBP1	Nuc3_gene1_SE22
3.951206	SELENBP1	Nuc3_gene2_SE22
7.769449	SELENBP1	Nuc3_gene1_SE23
3.105528	SELENBP1	Nuc3_gene2_SE23
3.104086	SELENBP1	Nuc3_gene1_SE24
6.62169	SELENBP1	Nuc3_gene2_SE24
8.724766	SELENBP1	Nuc3_gene1_SE25
4.79574	SELENBP1	Nuc3_gene2_SE25
4.422023	SELENBP1	Nuc3_gene1_SE26
6.332862	SELENBP1	Nuc3_gene2_SE26
8.826943	SELENBP1	Nuc3_gene1_SE27
6.136482	SELENBP1	Nuc3_gene2_SE27
6.043653	SELENBP1	Nuc3_gene1_SE28
2.537408	SELENBP1	Nuc3_gene2_SE28
8.507271	SELENBP1	Nuc3_gene1_SE29
6.542036	SELENBP1	Nuc3_gene2_SE29
5.154449	SELENBP1	Nuc3_gene1_SE30
2.741357	SELENBP1	Nuc3_gene2_SE30
9.536503	SELENBP1	Nuc3_gene1_SE31
3.934495	SELENBP1	Nuc3_gene2_SE31
9.948976	SELENBP1	Nuc3_gene1_SE32
6.237378	SELENBP1	Nuc3_gene2_SE32
