dist	Gene	pairLabel
5.20043	VMP1	Nuc2_gene3_SE93
9.55859	VMP1	Nuc2_gene1_SE94
7.082758	VMP1	Nuc2_gene2_SE94
6.59861	VMP1	Nuc2_gene3_SE94
11.064705	VMP1	Nuc2_gene1_SE95
7.449879	VMP1	Nuc2_gene2_SE95
8.250912	VMP1	Nuc2_gene3_SE95
12.281355	VMP1	Nuc2_gene1_SE96
8.21395	VMP1	Nuc2_gene2_SE96
9.940614	VMP1	Nuc2_gene3_SE96
13.206972	VMP1	Nuc2_gene1_SE97
10.604591	VMP1	Nuc2_gene2_SE97
11.244402	VMP1	Nuc2_gene3_SE97
8.60729	VMP1	Nuc2_gene1_SE98
7.762952	VMP1	Nuc2_gene2_SE98
5.289721	VMP1	Nuc2_gene3_SE98
8.554355	VMP1	Nuc2_gene1_SE99
8.23251	VMP1	Nuc2_gene2_SE99
5.304727	VMP1	Nuc2_gene3_SE99
8.628437	VMP1	Nuc2_gene1_SE100
7.923952	VMP1	Nuc2_gene2_SE100
5.413397	VMP1	Nuc2_gene3_SE100
10.216887	VMP1	Nuc2_gene1_SE101
8.639514	VMP1	Nuc2_gene2_SE101
7.616237	VMP1	Nuc2_gene3_SE101
10.858633	VMP1	Nuc2_gene1_SE102
8.015585	VMP1	Nuc2_gene2_SE102
8.227389	VMP1	Nuc2_gene3_SE102
13.576082	VMP1	Nuc2_gene1_SE103
10.951196	VMP1	Nuc2_gene2_SE103
11.548339	VMP1	Nuc2_gene3_SE103
8.789188	VMP1	Nuc2_gene1_SE104
7.754555	VMP1	Nuc2_gene2_SE104
5.4168	VMP1	Nuc2_gene3_SE104
11.932345	VMP1	Nuc2_gene1_SE105
7.897701	VMP1	Nuc2_gene2_SE105
9.325204	VMP1	Nuc2_gene3_SE105
9.201853	VMP1	Nuc2_gene1_SE106
7.593908	VMP1	Nuc2_gene2_SE106
5.974096	VMP1	Nuc2_gene3_SE106
11.343142	VMP1	Nuc2_gene1_SE107
7.801428	VMP1	Nuc2_gene2_SE107
8.651921	VMP1	Nuc2_gene3_SE107
12.585499	VMP1	Nuc2_gene1_SE108
8.920687	VMP1	Nuc2_gene2_SE108
10.201985	VMP1	Nuc2_gene3_SE108
11.371286	VMP1	Nuc2_gene1_SE109
7.978438	VMP1	Nuc2_gene2_SE109
8.706845	VMP1	Nuc2_gene3_SE109
12.225335	VMP1	Nuc2_gene1_SE110
8.970042	VMP1	Nuc2_gene2_SE110
9.674741	VMP1	Nuc2_gene3_SE110
12.302949	VMP1	Nuc2_gene1_SE111
9.302659	VMP1	Nuc2_gene2_SE111
9.900734	VMP1	Nuc2_gene3_SE111
11.819544	VMP1	Nuc2_gene1_SE112
9.398743	VMP1	Nuc2_gene2_SE112
9.27655	VMP1	Nuc2_gene3_SE112
11.924808	VMP1	Nuc2_gene1_SE113
10.760874	VMP1	Nuc2_gene2_SE113
9.681386	VMP1	Nuc2_gene3_SE113
11.020872	VMP1	Nuc2_gene1_SE114
7.064269	VMP1	Nuc2_gene2_SE114
8.098859	VMP1	Nuc2_gene3_SE114
14.08784	VMP1	Nuc2_gene1_SE115
11.13205	VMP1	Nuc2_gene2_SE115
