dist	Gene	pairLabel
2.850996	CD36	Nuc7_gene1_SE27
2.788519	CD36	Nuc7_gene1_SE28
4.23322	CD36	Nuc7_gene1_SE29
2.989105	CD36	Nuc7_gene1_SE30
3.886316	CD36	Nuc7_gene1_SE31
4.567246	CD36	Nuc7_gene1_SE32
2.862009	CD36	Nuc7_gene1_SE33
5.048258	CD36	Nuc7_gene1_SE34
3.389922	CD36	Nuc7_gene1_SE35
0.816966	CD36	Nuc7_gene1_SE36
6.45474	CD36	Nuc7_gene1_SE37
4.074818	CD36	Nuc7_gene1_SE38
2.722249	CD36	Nuc7_gene1_SE39
3.67105	CD36	Nuc7_gene1_SE40
0.756298	CD36	Nuc7_gene1_SE41
1.999636	CD36	Nuc7_gene1_SE42
2.81705	CD36	Nuc7_gene1_SE43
4.385282	CD36	Nuc7_gene1_SE44
4.807876	CD36	Nuc7_gene1_SE45
4.125472	CD36	Nuc7_gene1_SE46
5.933407	CD36	Nuc7_gene1_SE47
4.078482	CD36	Nuc7_gene1_SE48
3.727031	CD36	Nuc7_gene1_SE49
5.340032	CD36	Nuc7_gene1_SE50
1.074657	CD36	Nuc7_gene1_SE51
3.031129	CD36	Nuc7_gene1_SE52
3.950959	CD36	Nuc7_gene1_SE53
3.455869	CD36	Nuc7_gene1_SE54
5.961099	CD36	Nuc7_gene1_SE55
1.998963	CD36	Nuc7_gene1_SE56
1.707917	CD36	Nuc7_gene1_SE57
3.37468	CD36	Nuc7_gene1_SE58
5.669307	CD36	Nuc7_gene1_SE59
3.244367	CD36	Nuc7_gene1_SE60
3.410529	CD36	Nuc7_gene1_SE61
2.966786	CD36	Nuc7_gene1_SE62
2.965687	CD36	Nuc7_gene1_SE63
3.127686	CD36	Nuc7_gene1_SE64
4.013536	CD36	Nuc7_gene1_SE65
4.494275	CD36	Nuc7_gene1_SE66
3.155606	CD36	Nuc7_gene1_SE67
3.528889	CD36	Nuc7_gene1_SE68
3.726481	CD36	Nuc7_gene1_SE69
4.574497	CD36	Nuc7_gene1_SE70
3.58741	CD36	Nuc7_gene1_SE71
3.33524	CD36	Nuc7_gene1_SE72
3.980343	CD36	Nuc7_gene1_SE73
2.906684	CD36	Nuc7_gene1_SE74
